feature,importance
node_feat_33,0.0004919901
node_feat_38,0.00049031415
neighbor_feat_4_max,0.00048987416
node_feat_50,0.0004896021
edge_type_1_in,0.0004676659
neighbor_feat_15_max,0.00046223908
neighbor_feat_18_mean,0.00046131984
neighbor_feat_41_mean,0.00046086294
neighbor_feat_1_min,0.0004560345
neighbor_feat_35_mean,0.00045309198
node_feat_30,0.0004494178
neighbor_feat_35_max,0.0004478454
node_feat_42,0.00044492714
neighbor_feat_38_max,0.00043533513
neighbor_feat_0_mean,0.00041828572
neighbor_feat_24_min,0.0004071046
node_feat_35,0.0003973772
node_feat_44,0.0003825088
node_feat_39,0.00038098273
neighbor_feat_49_min,0.0003789316
neighbor_feat_38_min,0.0003683534
log_in_degree,0.00035777263
neighbor_feat_48_min,0.00035315694
neighbor_feat_0_min,0.00035221453
node_feat_40,0.00032683526
neighbor_feat_17_mean,0.0003236785
node_feat_8,0.00032068483
log_total_degree,0.0003206452
neighbor_feat_15_mean,0.00031654708
neighbor_feat_39_mean,0.00029536636
node_feat_49,0.00028863287
neighbor_feat_40_mean,0.00027884316
neighbor_feat_43_min,0.00026492175
neighbor_feat_15_min,0.00026068478
neighbor_feat_54_min,0.00025139542
edge_type_1_total,0.00019622325
neighbor_feat_39_min,0.00017162706
neighbor_feat_51_mean,0.00017147831
node_feat_41,0.00015014532
node_feat_53,0.000114611285
neighbor_feat_53_min,9.1196714e-05
neighbor_feat_41_min,6.523135e-05
neighbor_feat_46_min,2.7929564e-05
min_timestamp,0.0
mean_total_timestamp,0.0
mean_in_timestamp,0.0
mean_out_timestamp,0.0
neighbor_label2_ratio,0.0
neighbor_feat_8_min,0.0
unique_edge_type_out_count,0.0
unique_edge_type_in_count,0.0
missing_value_count,0.0
node_feat_54,0.0
node_feat_52,0.0
node_feat_51,0.0
unique_edge_type_total_count,0.0
neighbor_label2_count,0.0
timestamp_span,0.0
max_timestamp,0.0
neighbor_feat_51_min,0.0
neighbor_feat_51_max,0.0
neighbor_feat_52_min,0.0
neighbor_feat_54_max,0.0
neighbor_feat_54_mean,0.0
