feature,importance
neighbor_feat_9_max,0.00031411205
neighbor_feat_4_max,0.00030764585
node_feat_27,0.00030518483
node_feat_40,0.0002983041
neighbor_feat_8_max,0.00029537728
neighbor_feat_26_min,0.00027317877
neighbor_feat_18_mean,0.0002701212
neighbor_feat_54_mean,0.0002672553
neighbor_feat_46_max,0.00026477806
neighbor_feat_41_mean,0.000264052
neighbor_feat_53_mean,0.000263596
node_feat_31,0.00026345227
neighbor_feat_28_max,0.00026208564
neighbor_feat_45_max,0.00026198113
neighbor_feat_34_min,0.00025953547
neighbor_feat_29_mean,0.00025787708
neighbor_feat_11_max,0.0002561074
neighbor_feat_14_max,0.00025583743
node_feat_24,0.00025139435
neighbor_feat_16_max,0.00024871906
neighbor_feat_28_mean,0.00024189908
neighbor_feat_1_mean,0.00024028121
neighbor_feat_14_mean,0.00023939117
neighbor_feat_26_mean,0.00023139581
node_feat_9,0.0002289615
neighbor_feat_16_min,0.0002287542
neighbor_feat_27_mean,0.00021049056
neighbor_feat_19_min,0.00020527467
neighbor_feat_19_max,0.000204667
neighbor_feat_36_max,0.00020110606
node_feat_23,0.00018867356
neighbor_feat_0_max,0.00018806654
neighbor_feat_39_max,0.0001864805
neighbor_feat_43_mean,0.00018448824
neighbor_feat_54_max,0.00017619893
neighbor_feat_38_mean,0.00017555317
neighbor_feat_35_mean,0.00017326779
edge_type_1_in,0.00017041941
neighbor_feat_54_min,0.00016427503
neighbor_feat_19_mean,0.00015952418
neighbor_feat_36_mean,0.00014879848
node_feat_21,0.00014594162
node_feat_14,0.00013537999
neighbor_feat_50_min,0.00011856969
neighbor_feat_21_min,0.00011799114
log_total_degree,0.0001061967
neighbor_feat_47_max,0.00010362696
neighbor_feat_44_mean,8.079978e-05
edge_type_1_out,4.9787166e-05
node_feat_54,2.2823424e-05
node_feat_42,0.0
node_feat_55,0.0
node_feat_53,0.0
node_feat_52,0.0
missing_value_count,0.0
neighbor_feat_9_min,0.0
unique_edge_type_total_count,0.0
neighbor_label2_count,0.0
unique_edge_type_in_count,0.0
edge_type_1_total,0.0
neighbor_label2_ratio,0.0
unique_edge_type_out_count,0.0
neighbor_feat_41_min,0.0
neighbor_feat_44_min,0.0
neighbor_feat_52_max,0.0
neighbor_feat_53_min,0.0
neighbor_feat_52_min,0.0
neighbor_feat_52_mean,0.0
neighbor_feat_55_mean,0.0
neighbor_feat_55_max,0.0
neighbor_feat_55_min,0.0
